iter	Passed	Remaining
0	0	86
1	0	77
2	0	73
3	0	80
4	0	70
5	0	64
6	0	64
7	0	64
8	0	64
9	0	60
10	0	60
11	0	60
12	0	60
13	0	59
14	0	59
15	0	59
16	1	59
17	1	59
18	1	59
19	1	59
20	1	58
21	1	58
22	1	56
23	1	56
24	1	55
25	1	55
26	1	55
27	1	56
28	1	56
29	1	57
30	1	56
31	1	56
32	1	56
33	2	56
34	2	56
35	2	56
36	2	56
37	2	55
38	2	55
39	2	54
40	2	55
41	2	55
42	2	55
43	2	55
44	2	55
45	2	55
46	2	55
47	2	55
48	2	55
49	2	55
50	2	55
51	3	55
52	3	54
53	3	54
54	3	54
55	3	54
56	3	54
57	3	54
58	3	54
59	3	53
60	3	53
61	3	53
62	3	53
63	3	52
64	3	52
65	3	52
66	3	52
67	3	52
68	3	52
69	3	52
70	3	51
71	3	51
72	4	51
73	4	51
74	4	51
75	4	51
76	4	52
77	4	52
78	4	52
79	4	52
80	4	52
81	4	54
82	4	54
83	5	58
84	5	57
85	5	57
86	5	57
87	5	57
88	5	57
89	5	57
90	5	56
91	5	56
92	5	56
93	5	56
94	5	56
95	6	56
96	6	56
97	6	56
98	6	56
99	6	56
100	6	55
101	6	55
102	6	55
103	6	55
104	6	55
105	6	54
106	6	54
107	6	54
108	6	54
109	6	54
110	6	54
111	6	54
112	6	53
113	6	53
114	6	53
115	6	53
116	6	52
117	7	52
118	7	52
119	7	52
120	7	52
121	7	52
122	7	52
123	7	52
124	7	51
125	7	51
126	7	51
127	7	51
128	7	51
129	7	51
130	7	50
131	7	50
132	7	50
133	7	50
134	7	50
135	7	50
136	7	50
137	7	49
138	8	49
139	8	49
140	8	49
141	8	49
142	8	49
143	8	48
144	8	48
145	8	48
146	8	48
147	8	48
148	8	48
149	8	48
150	8	48
151	8	48
152	8	48
153	8	47
154	8	47
155	8	47
156	8	47
157	8	47
158	9	49
159	9	50
160	9	50
161	9	50
162	9	50
163	9	50
164	9	50
165	9	50
166	10	50
167	10	50
168	10	50
169	10	50
170	10	50
171	10	50
172	10	50
173	10	50
174	10	50
175	10	50
176	10	50
177	10	49
178	10	50
179	11	50
180	11	50
181	11	50
182	11	49
183	11	49
184	11	49
185	11	49
186	11	49
187	11	50
188	11	49
189	11	49
190	11	49
191	11	49
192	11	49
193	12	50
194	12	49
195	12	50
196	12	50
197	12	50
198	12	49
199	12	49
200	12	49
201	12	49
202	12	49
203	12	49
204	12	49
205	12	49
206	12	49
207	13	49
208	13	49
209	13	49
210	13	49
211	13	49
212	13	48
213	13	49
214	13	48
215	13	48
216	13	48
217	13	48
218	13	48
219	13	48
220	13	48
221	13	48
222	13	48
223	13	48
224	13	47
225	13	47
226	14	47
227	14	47
228	14	47
229	14	47
230	14	47
231	14	47
232	14	47
233	14	47
234	14	46
235	14	46
236	14	46
237	14	46
238	14	46
239	14	46
240	14	46
241	14	46
242	14	46
243	15	46
244	15	46
245	15	46
246	15	46
247	15	46
248	15	46
249	15	46
250	15	46
251	15	45
252	15	45
253	15	45
254	15	45
255	15	45
256	15	45
257	15	45
258	15	45
259	15	45
260	15	45
261	16	45
262	16	45
263	16	45
264	16	45
265	16	44
266	16	44
267	16	44
268	16	44
269	16	45
270	16	45
271	16	45
272	16	44
273	16	44
274	16	44
275	17	44
276	17	44
277	17	44
278	17	44
279	17	44
280	17	44
281	17	44
282	17	44
283	17	44
284	17	44
285	17	44
286	17	44
287	17	44
288	17	44
289	17	44
290	18	43
291	18	43
292	18	43
293	18	43
294	18	43
295	18	43
296	18	43
297	18	43
298	18	43
299	18	43
300	18	43
301	18	43
302	18	43
303	19	43
304	19	43
305	19	43
306	19	43
307	19	43
308	19	43
309	19	43
310	19	43
311	19	43
312	19	43
313	19	43
314	19	43
315	19	43
316	20	43
317	20	43
318	20	43
319	20	43
320	20	43
321	20	43
322	20	43
323	20	43
324	20	43
325	20	43
326	21	43
327	21	43
